Date_of_capture,SLIDE_IDENTIFIER,Latitude,Longitude,Depth_m,Region,Length,Length_manual,Length_manual_2,Wt_kg,Age,Certainty,Biological_maturity,Functional_maturity,Age_bin,n_age,propmat_age,propfun_age
9/17/2012,2334,40.76656508,-124.5151104,381.2,1,23,23,23,0.2,10,1,0,0,35,1,1,1
9/2/2012,2981,44.41232972,-124.9700471,668.4,1,20,20,20,0.12,10,1,0,0,37,1,1,1
8/19/2012,2878,45.33048125,-124.72884,522.8,1,21,21,21,0.14,10,1,0,0,38,1,1,1
6/29/2012,2791,37.10840148,-122.7892639,518.4,2,24,24,24,0.2,10,1,1,0,40,2,1,1
6/22/2012,2759,40.88857222,-124.4909711,440.7,1,24,24,24,0.22,11,1,0,0,41,3,1,1
8/19/2012,2879,45.33048125,-124.72884,522.8,1,20,20,20,0.12,11,1,0,0,43,2,1,0.5
8/19/2012,2864,45.40675083,-124.5754329,390.1,1,24,24,24,0.2,11,1,0,0,45,1,1,1
5/28/2012,2281,46.08653052,-124.8224701,452,1,24,24,24,0.2,11,1,0,0,47,1,1,1
7/5/2012,2988,34.8622409,-121.2966302,437.4,2,21,21,21,0.12,12,1,0,0,48,1,1,1
9/28/2012,2818,37.03460567,-122.6926592,474.1,2,22,22,22,0.16,12,1,0,0,50,1,0,0
8/19/2012,2890,45.4042875,-124.5311875,410.1,1,24,24,24,0.24,12,1,0,0,51,1,1,1
10/14/2012,2432,33.08481083,-118.7077925,490.6,2,22,22,22,0.14,13,1,0,0,54,3,1,1
7/3/2012,2731,35.02146115,-121.1356959,551.2,2,23,23,23,0.18,13,1,0,0,59,4,1,1
9/6/2012,2976,43.58712672,-124.6801944,434.9,1,23,23,23,0.22,13,1,0,0,63,1,1,1
9/2/2012,2991,44.50917451,-124.9121836,451.5,1,26,26,26,0.3,13,1,0,0,65,1,1,1
5/25/2012,2493,47.86425832,-125.2980079,450.3,1,29,29,29,0.46,13,1,1,1,70,1,1,1
6/24/2012,2779,40.11927151,-124.3851879,498.9,2,26,26,26,0.28,13,1,1,0,76,1,1,1
9/14/2012,2804,41.96435366,-124.61787,453.2,1,30,30,30,0.42,13,1,1,1,80,1,1,1
10/14/2012,3042,33.08481083,-118.7077925,490.6,2,22,22,22,0.16,14,1,0,0,,,,
10/10/2012,3033,33.81778474,-120.1910723,465.6,2,21,21,21,0.16,14,1,0,0,,,,
7/3/2012,2790,35.02146115,-121.1356959,551.2,2,22,22,22,0.16,14,1,0,0,,,,
8/19/2012,2859,45.4042875,-124.5311875,410.1,1,26,26,26,0.26,14,1,0,0,,,,
7/5/2012,2985,34.8622409,-121.2966302,437.4,2,24,24,24,0.22,14,1,1,1,,,,
9/17/2012,2404,40.91514568,-124.4734278,385.4,1,29,29,29,0.4,14,1,1,1,,,,
6/4/2012,2505,45.60369065,-124.6774138,412.1,1,24,24,24,0.24,15,1,1,1,,,,
8/19/2012,2901,45.33048125,-124.72884,522.8,1,27,27,27,0.32,15,1,1,1,,,,
10/10/2012,3025,33.81778474,-120.1910723,465.6,2,22,22,22,0.16,16,1,0,0,,,,
9/14/2012,2835,41.96435366,-124.61787,453.2,1,27,27,27,0.34,16,1,1,1,,,,
6/23/2012,2787,40.4522642,-124.6340745,495.5,1,24,24,24,0.2,17,1,0,0,,,,
7/5/2012,2994,34.8622409,-121.2966302,437.4,2,24,24,24,0.2,17,1,1,1,,,,
6/23/2012,2788,40.4522642,-124.6340745,495.5,1,26,26,26,0.28,17,1,1,0,,,,
9/17/2012,2338,40.76656508,-124.5151104,381.2,1,29,29,29,0.46,17,1,1,1,,,,
8/19/2012,2914,45.33048125,-124.72884,522.8,1,29,29,29,0.38,17,1,1,1,,,,
9/14/2012,2836,41.96435366,-124.61787,453.2,1,28,28,28,0.42,18,1,1,1,,,,
7/5/2012,2998,34.7284353,-121.1789127,544.7,2,24,24,24,0.22,19,1,1,0,,,,
9/28/2012,2812,37.03460567,-122.6926592,474.1,2,27,27,27,0.32,19,1,1,1,,,,
8/19/2012,2913,45.33048125,-124.72884,522.8,1,32,32,32,0.5,19,1,1,1,,,,
5/24/2012,2926,48.10733224,-125.7633945,452.9,1,30,30,30,0.52,19,1,1,1,,,,
6/29/2012,2710,37.10840148,-122.7892639,518.4,2,26,26,26,0.26,20,1,1,1,,,,
7/1/2012,2763,35.63737441,-121.418349,433.8,2,27,27,27,0.36,21,1,0,0,,,,
7/5/2012,2989,34.8622409,-121.2966302,437.4,2,25,25,25,0.2,21,1,1,1,,,,
9/17/2012,2349,40.76656508,-124.5151104,381.2,1,30,30,30,0.48,22,1,1,1,,,,
9/2/2012,2908,44.41232972,-124.9700471,668.4,1,31,31,31,0.5,22,1,1,1,,,,
8/19/2012,2915,45.33048125,-124.72884,522.8,1,29,29,29,0.42,22,1,1,1,,,,
6/22/2012,2719,40.88857222,-124.4909711,440.7,1,24,24,24,0.2,23,1,0,0,,,,
9/6/2012,2972,43.58712672,-124.6801944,434.9,1,33,33,33,0.54,23,1,1,1,,,,
7/3/2012,2773,34.71975242,-120.9841594,419.2,2,25,25,25,0.24,24,1,1,1,,,,
9/14/2012,2803,41.96435366,-124.61787,453.2,1,31,31,31,0.5,24,1,1,1,,,,
7/4/2012,2778,34.60685556,-120.9350464,489.1,2,29,29,29,0.38,25,1,1,1,,,,
7/3/2012,2737,35.02146115,-121.1356959,551.2,2,30,30,30,0.36,25,1,1,1,,,,
7/4/2012,2765,34.60685556,-120.9350464,489.1,2,27,27,27,0.28,26,1,1,1,,,,
9/17/2012,2402,40.91514568,-124.4734278,385.4,1,31,31,31,0.48,26,1,1,1,,,,
7/1/2012,2789,35.63737441,-121.418349,433.8,2,32,32,32,0.38,29,1,1,1,,,,
6/4/2012,2494,45.60369065,-124.6774138,412.1,1,32,32,32,0.46,30,1,0,0,,,,
9/17/2012,2333,40.76656508,-124.5151104,381.2,1,31,31,31,0.56,30,1,1,1,,,,
8/19/2012,2902,45.33048125,-124.72884,522.8,1,32,32,32,0.5,31,1,1,1,,,,
7/3/2012,2733,35.02146115,-121.1356959,551.2,2,29,29,29,0.38,32,1,1,1,,,,
6/21/2012,2797,41.62848453,-124.5073995,356.8,1,27,27,27,0.34,32,1,1,1,,,,
8/19/2012,2916,45.33048125,-124.72884,522.8,1,33,33,33,0.6,33,1,1,1,,,,
7/4/2012,2735,34.60685556,-120.9350464,489.1,2,29,29,29,0.36,35,1,1,1,,,,
7/1/2012,2711,35.93396677,-121.5740541,427.8,2,31,31,31,0.5,37,1,1,1,,,,
7/1/2012,2747,35.63737441,-121.418349,433.8,2,30,30,30,0.4,38,1,1,1,,,,
7/5/2012,2921,34.8622409,-121.2966302,437.4,2,27,27,27,0.26,40,1,1,1,,,,
10/1/2012,2822,35.56244346,-121.4002338,544.6,2,35,35,35,0.58,40,1,1,1,,,,
7/4/2012,2764,34.60685556,-120.9350464,489.1,2,26,26,26,0.28,41,1,1,1,,,,
9/28/2012,2326,37.03460567,-122.6926592,474.1,2,28,28,28,0.36,41,1,1,1,,,,
5/28/2012,2272,46.08653052,-124.8224701,452,1,34,34,34,0.64,41,1,1,1,,,,
7/1/2012,2762,35.93396677,-121.5740541,427.8,2,28,28,28,0.36,43,1,1,0,,,,
9/27/2012,2348,37.37311129,-122.9307562,548.8,2,34,34,34,0.68,43,1,1,1,,,,
9/17/2012,2403,40.91514568,-124.4734278,385.4,1,34,34,34,0.62,45,1,1,1,,,,
7/5/2012,2995,34.8622409,-121.2966302,437.4,2,28,28,28,0.36,47,1,1,1,,,,
9/28/2012,2335,37.03460567,-122.6926592,474.1,2,28,28,28,0.36,48,1,1,1,,,,
10/3/2012,3046,35.17835115,-121.0538886,424.8,2,32,32,32,0.52,50,1,0,0,,,,
7/5/2012,2847,34.7284353,-121.1789127,544.7,2,33,33,33,0.58,51,1,1,1,,,,
7/4/2012,2746,34.60685556,-120.9350464,489.1,2,30,30,30,0.5,54,1,1,1,,,,
7/5/2012,2722,34.7284353,-121.1789127,544.7,2,32,32,32,0.5,54,1,1,1,,,,
7/3/2012,2739,35.02146115,-121.1356959,551.2,2,32,32,32,0.48,54,1,1,1,,,,
7/4/2012,2723,34.60685556,-120.9350464,489.1,2,32,32,32,0.56,59,1,1,1,,,,
7/3/2012,2730,34.71975242,-120.9841594,419.2,2,29,29,29,0.36,59,1,1,1,,,,
7/1/2012,2756,35.93396677,-121.5740541,427.8,2,30,30,30,0.42,59,1,1,1,,,,
6/29/2012,2792,37.10840148,-122.7892639,518.4,2,32,32,32,0.5,59,1,1,1,,,,
7/4/2012,2748,34.60685556,-120.9350464,489.1,2,29,29,29,0.4,63,1,1,1,,,,
9/14/2012,2830,41.96435366,-124.61787,453.2,1,35,35,35,0.7,65,1,1,1,,,,
8/19/2012,2912,45.33048125,-124.72884,522.8,1,36,36,36,0.84,70,1,1,1,,,,
8/19/2012,2877,45.33048125,-124.72884,522.8,1,37,37,37,0.88,76,1,1,1,,,,
7/5/2012,2848,34.7284353,-121.1789127,544.7,2,33,33,33,0.56,80,1,1,1,,,,
7/3/2012,2738,35.02146115,-121.1356959,551.2,2,34,34,34,0.6,86,1,1,1,,,,
9/6/2012,2979,43.82364587,-124.7108209,400.4,1,26,26,26,0.32,13,0,0,0,,,,
9/17/2012,2401,40.91514568,-124.4734278,385.4,1,26,26,26,0.26,13,0,1,0,,,,
7/5/2012,2999,34.8622409,-121.2966302,437.4,2,24,24,24,0.14,16,0,0,0,,,,
9/6/2012,2906,43.58712672,-124.6801944,434.9,1,30,30,30,0.42,22,0,0,0,,,,
9/6/2012,2826,43.48659456,-124.7258057,505.2,1,34,34,34,0.68,29,0,1,0,,,,
7/4/2012,2777,34.60685556,-120.9350464,489.1,2,31,31,31,0.46,73,0,1,0,,,,
